KEY	영어	한국어	중국어(간체)
EPageLayoutVCForPhone:lblCustom	Custom	사용자\n지정	用户\n自定义
EPageLayoutVCForPhone:lblMargin	Margins	여백	页边距
EPageLayoutVCForPhone:lblSize	Size	크기	大小
EPageLayoutVCForPhone:lblDirection	Direction	방향	方向
EPageLayoutVCForPhone:lblParagraph	Paragraph	단	分栏
EPageLayoutVCForPhone:segAfterThisLocation	Applied after current position	현재 위치 다음부터	当前位置之后
EPageLayoutVCForPhone:segAllPage	Whole document	문서 전체	所有页面
EPageLayoutVCForPhone:segThisArea	This area	이 구역	当前区域
EPageLayoutVCForPhone:btnCancel	Cancel	취소	取消
EPageLayoutVCForPhone:btnBack	Page Layout	페이지 레이아웃	页面布局
EPageLayoutVCForPhone:btnDone	Done	완료	完成
EPageLayoutVCForPhone:btnOrigin	Default	기본값으로 설정	设为默认值
EPageLayoutVCForPhone:lblOrigin	Do you want to set Custom Margins as a default?	사용자 지정 여백을 기본값으로 변경하시겠습니까?	要把自定义页边距设为默认值吗？
EPageLayoutVCForPhone:lblMarginTop	Top (cm)	위쪽(cm)	上(cm)
EPageLayoutVCForPhone:lblMarginBottom	Bottom (cm)	아래쪽(cm)	下(cm)
EPageLayoutVCForPhone:lblMarginLeft	Left (cm)	왼쪽(cm)	左(cm)
EPageLayoutVCForPhone:lblMarginRight	Right (cm)	오른쪽(cm)	右(cm)
			
EWordMemoManager:hint	Write a comment	메모를 입력하세요.	请输入批注
			
EHeaderFooterVC:btnDone	Close	닫기	关闭
EHeaderFooterVC:headerTitle	Header	머리글	页眉
EHeaderFooterVC:footerTitle	Footer	바닥글	页脚
EHeaderFooterVC:lblColumn1Title	Blank	비어 있음	空白
EHeaderFooterVC:lblColumn3Title	Blank (3 Columns)	비어 있음(3열)	空白(三栏)
EHeaderFooterVC:templateColumn1	Enter text	텍스트 입력	输入文本
EHeaderFooterVC:templateColumn3_land	Enter text Enter text Enter text	텍스트 입력                           텍스트 입력                           텍스트 입력	输入文本                           输入文本                           输入文本
EHeaderFooterVC:templateColumn3_port	Enter text Enter text Enter text	텍스트 입력               텍스트 입력               텍스트 입력	输入文本               输入文本               输入文本
EHeaderFooterVC:lblPageNumTitle	Page Number	페이지 번호	页码
			
EHeaderFooterVCForPhone:btnDone	Close	닫기	关闭
EHeaderFooterVCForPhone:headerTitle	Header	머리글	页眉
EHeaderFooterVCForPhone:footerTitle	Footer	바닥글	页脚
EHeaderFooterVCForPhone:lblColumn1Title	Blank	비어 있음	空白
EHeaderFooterVCForPhone:lblColumn3Title	Blank (3 Columns)	비어 있음(3열)	空白(三栏)
EHeaderFooterVCForPhone:templateColumn1	Enter text	텍스트 입력	输入文本
EHeaderFooterVCForPhone:templateColumn3_land	Enter text Enter text Enter text	텍스트 입력                           텍스트 입력                           텍스트 입력	输入文本                           输入文本                           输入文本
EHeaderFooterVCForPhone:templateColumn3_port	Enter text Enter text Enter text	텍스트 입력               텍스트 입력               텍스트 입력	输入文本               输入文本               输入文本
EHeaderFooterVCForPhone:lblPageNumTitle	Page Number	페이지 번호	页码
			
EFindListManager:lblTitle	Search Results (%d)	검색 결과(%d)	搜索结果 (%d)
			
ESaveAs:btnCancel	Cancel	취소	取消
ESaveAs:btnOk	Save	저장	保存
ESaveAs:lblTitle	Save As	다른 이름으로 저장	另存为
ESaveAs:lblFilename	Filename	파일 이름	文件名
ESaveAs:lblPathTitle	Folder Path	폴더 경로	文件夹路径
ESaveAs:Invalid file name	Invalid name.	유효하지 않은 이름입니다	无效的文件名！
ESaveAs:lblIncludeDraw	Save including drawn objects	그리기 포함하여 저장	手绘对象也一同保存
ESaveAs:lblIncludeDrawContent	Drawn memos will not be shown on PC.	그리기 메모는 PC에서 보이지 않습니다.	在 PC 上不显示手绘批注
ESaveAs:NotUseSpecialCharacters	Special characters (/, :, *, ?, <, >, |, \, and \)\ncannot be used.	특수문자 (\\ / : * ? \ “ < > |)는\n사용할 수 없습니다.	不能使用特殊字符 (\\ / : * ? \ “ < > |)！
ESaveAs:maxLength	File/folder names cannot exceed %d characters.	파일/폴더 이름은 %d자를 넘어갈 수 없습니다.	文件名/文件夹名不能超过 %d 个字符！
ESaveAs:maxFilePathByte	Cannot exceed %d bytes.	전체 경로는 %d Byte를\n 넘어갈 수 없습니다.	全部路径不能超过 %d 字节！
ESaveAs:lblSavePdf	Save as a PDF	PDF로 내보내기	保存为 PDF
ESaveAs:wrongName	Cannot use the name of \%@\"."	\%@\"이름은\n사용할 수 없습니다."	不能使用\%@\"名称!"
			
FSettingAutoRestore:lblTitle	Set Auto Save	자동 저장 설정	设置自动保存
FSettingAutoRestore:btnOk	Close	닫기	关闭
FSettingAutoRestore:lblForceSave	Auto save	무조건 자동 저장	始终自动保存
FSettingAutoRestore:lblSleepSave	Auto save after edit	쉴 때 자동 저장	休眠时自动保存
FSettingAutoRestore:Min	Minutes	분	分
FSettingAutoRestore:Sec	Seconds	초	秒
			
ESort:btnCancel	Cancel	취소	取消
ESort:btnOk	Done	완료	完成
ESort:btnSort	Sort	정렬	排序
ESort:lblTitle	Sort	정렬	排序
ESort:lblFirst	First standard	첫째 기준	第一关键字
ESort:lblSecond	Second standard	둘째 기준	第二关键字
ESort:lblThird	Third standard	셋째 기준	第三关键字
ESort:lblDirection	Direction	방향	方向
ESort:lblUpDown	Top to bottom	위쪽에서 아래쪽으로	从上到下
ESort:lblLeftRight	Left to right	왼쪽에서 오른쪽으로	从左到右
ESort:lblSelect	Select	선택	选择
ESort:lblNothing	None	없음	无
			
EFigureSetter:btnCancel	Cancel	취소	取消
EFigureSetter:btnOk	Done	확인	完成
EFigureSetter:titleAll	Size and Rotation	크기 및 회전	大小和旋转
EFigureSetter:titleResize	Size	크기	大小
EFigureSetter:titleRotate	Rotate	회전	旋转
EFigureSetter:titleSplit	Split into different cells	셀 분할	拆分单元格
EFigureSetter:titleRow	Row Height	행 높이	行高
EFigureSetter:titleColumn	Column Width	열 너비	列宽
EFigureSetter:titleOptFormGreater	Emphasize top N cells	상위 N개의 셀 강조	突出显示前 N 个单元格
EFigureSetter:titleOptFormLess	Emphasize bottom N cells	하위 N개의 셀 강조	突出显示后 N 个单元格
EFigureSetter:titleOptFormGreaterPercentage	Emphasize top N% cells	상위 N%의 셀 강조	突出显示前 N% 的单元格
EFigureSetter:titleOptFormLessPercentage	Emphasize bottom N% cells	하위 N%의 셀 강조	突出显示后 N% 的单元格
EFigureSetter:titleOptFormBigger	Greater Than	보다 큼	大于
EFigureSetter:titleOptFormSmaller	Smaller Than	보다 작음	小于
EFigureSetter:titleOptFormEqual	Equal	같음	等于
EFigureSetter:titleOptFormDuple	Duplicate Value	중복 값	重复值
EFigureSetter:lblOptionBigger	Format cells containing values greater than the following	다음 값보다 큰 셀의 서식 지정	指定大于以下值的单元格格式
EFigureSetter:lblOptionSmaller	Format cells containing values smaller than the following	다음 값보다 작은 셀의 서식 지정	指定小于以下值的单元格格式
EFigureSetter:lblOptionSmaller	Format cells containing values equal to the following	다음 값과 같은 셀의 서식 지정	指定等于以下值的单元格格式
EFigureSetter:lblOptionGreater	Set format followed by greater cell	다음 상위 순위의 셀에 속하는 서식 지정	指定排名靠前的单元格格式
EFigureSetter:lblOptionLess	Set format followed by lesser cell	다음 하위 순위의 셀에 속하는 서식 지정	指定排名靠后的单元格格式
EFigureSetter:width	Width (mm)	너비 (mm)	宽度 (mm)
EFigureSetter:height	Height (mm)	높이 (mm)	高度 (mm)
EFigureSetter:row	Row	행	行
EFigureSetter:column	Column	열	列
EFigureSetter:lblRatio	Retain ratio	비율 유지	保持比例
EFigureSetter:lblRotate	Rotate (%@)	회전 (%@)	旋转 (%@)
EFigureSetter:toastRangeException	Enter a value between %.1f-%.1f.	%.1f ~ %.1f 사이의 값을 입력해 주세요.	请输入从 %.1f 至 %.1f 的值
EFigureSetter:toastRangeIntException	Enter a value between %d-%d.	%d ~ %d 사이의 값을 입력해 주세요.	请输入从 %d 至 %d 的值
EFigureSetter:toastRangeSplit	Enter a value between %d-%d.	%d ~ %d 사이의 값을 입력해 주세요.	请输入 %d 至 %d 的值
			
EInsertController:Image	Image	이미지	图片
EInsertController:Shape	Shape	도형	形状
EInsertController:Table	Table	표	表格
EInsertController:Chart	Chart	차트	图表
EInsertController:Cell	Cell	셀	单元格
			
EInsertTable:btnCreate	Create Chart	표 생성	创建表格
EInsertTable:Title	Enter	입력	输入
EInsertTable:lblInsertCol	Columns	열 개수	列数
EInsertTable:lblInsertRow	Rows	행 개수	行数
			
EInsertImage:Photo	Take a picture	사진촬영	照相
EInsertImage:Video	Capture Video	동영상촬영	拍摄视频
EInsertImage:Camera	Camera Roll	카메라 롤	相机胶卷
EInsertImage:videoAlbum	Video	동영상	视频
EInsertImage:lblTitle0	Picture	사진	照片
EInsertImage:lblTitle2	Choose Photo	사진 선택하기	选择照片
EInsertImage:btnBack	Back	이전	返回
EInsertImage:btnClose	Close	닫기	关闭
EInsertImage:btnConfirm	Confirm	확인	确认
EInsertImage:lblEmpty	Use the camera to take pictures and capture video.\nYou can synchronize pictures and video %@\nthrough iTunes.	카메라를 통해 사진 및 비디오를 찍거나,\n iTunes를 통해 사진 및 비디오를\n %@에 동기화할 수 있습니다.	可通过相机拍摄照片或视频，\n通过 iTunes 向 %@ 同步照片或视频。
			
EInsertShape:alarmCurve	Tap the screen to begin drawing a curve. \n Double-tap the drawing when complete.	화면에 탭을 하는 궤적을 따라 곡선이 그려집니다.\n더블 탭 하면 그리기가 완료됩니다.	按照屏幕上拖动的轨迹绘出曲线。\n双击完成手绘。
EInsertShape:freeMode	Tap the screen to begin drawing a line. \n Double-tap the drawing is complete	화면에 탭을 하는 궤적을 따라 연결된 직선이 그려집니다.\n더블 탭 하면 그리기가 완료됩니다.	按照屏幕上拖动的轨迹绘出直线。\n双击完成手绘。
EInsertShape:freeModePhone	Tap the screen to begin drawing a line. \n Double-tap the drawing is complete	화면에 탭을 하는 궤적을 따라 연결된 직선이\n그려집니다. 더블 탭 하면 그리기가 완료됩니다.	按照屏幕上拖动的轨迹绘出直线。\n双击完成手绘。
EInsertShape:freeLine	Tap and hold to draw freehand. \n Lift your finger to complete the drawing.	화면에 자유롭게 곡선을 그릴 수 있습니다.\n손을 떼면 그리기가 완료 됩니다.	可在屏幕上绘出自由曲线。\n释放屏幕时完成手绘。
			
EInsertCell:Right	Shift cells right	셀을 오른쪽으로 밀기	单元格右移
EInsertCell:Down	Shift cells down	셀을 아래로 밀기	单元格下移
EInsertCell:Row	Entire row	행 전체	整行
EInsertCell:Col	Entire column	열 전체	整列
			
ETitleBar:btnBack	Back	이전	返回
ETitleBar:btnSlide:LMode	Edit Mode	편집모드	编辑模式
ETitleBar:btnSlide:RMode	Review Mode	검토모드	审阅模式
			
ESlideChangeScreen:btnEffectAll	Apply to all slides	전체 슬라이드 적용	应用于全部幻灯片
ESlideChangeScreen:effectall	Apply to all slides	전체 슬라이드에 적용되었습니다.	应用于全部幻灯片
			
ESlideLayout:lblTitle	Layout	레이아웃	布局
ESlideLayout:btnClose	Close	닫기	关闭
			
ESlideNoteManagerForPhone:lblNoteTitle	Slide Note	슬라이드 노트	幻灯片备注
ESlideNoteManagerForPhone:lblHint	You can write a note here.	노트를 입력하세요	请输入备注
ESlideNoteManagerForPhone:textLengOver	You can only enter up to 1,024 characters.	1024자 이상은 입력할 수 없습니다.	最多可输入 1024 个字符
			
ESlideNoteManager:lblHint	Enter content.	노트 내용을 입력하세요.	请输入备注内容
ESlideNoteManager:textLengOver	Only up to 1,024 characters can be entered.	1024자 이상은 입력할 수 없습니다.	最多可输入 1024 个字符
			
ESlideShowManager:lastpage	The slide show ended.\nTo exit, please tap the screen twice.	슬라이드 쇼가 끝났습니다.\n 끝내려면 더블 탭 해 주세요.	幻灯片放映已结束！\n请双击屏幕退出。
ESlideShowManager:DOC_PROTECT	Protected documents cannot be edited.	보호 문서는 편집을 지원하지 않습니다.	不支持编辑设置保护的文件
ESlideShowManager:DOC_PASSWORD_FILE	Password-protected documents cannot be edited.	암호가 설정된 문서는 편집을\n 지원하지 않습니다.	不支持编辑设置密码的文件
ESlideShowManager:DOC_PASSWORD_FILE_LINK	Pen annotations cannot be saved in password-protected documents.	암호문서는 슬라이드 쇼의 잉크를\n저장하지 않습니다.	(*)Password-protected documents cannot save the ink.
ESlideShowManager:CannotSupportVideo	This video format is not supported.	지원하지 않는 동영상 파일입니다.	不支持的视频文件！
ESlideShowManager:CannotFindVideo	Video file is not found.	동영상 파일을 찾을 수 없습니다.	无法找到视频文件
			
ESlideController:NotPropertyArea	Please select an object or text and click it again.	문서 영역 안의 텍스트나 객체를 선택한 후에 다시 눌러 주세요.	请选择文件内文本或对象后重试
ESlideController:FailedStartingSlideShowAsAllSlideIsHidden	Cannot start the slideshow because all pages are hidden.	슬라이드 쇼 범위 안의 모든 페이지가 숨겨져 있어 슬라이드 쇼를 시작할 수 없습니다.	由于所有幻灯片都被隐藏，因此无法开始幻灯片演示。
			
UMailComposer:mailTitle	%d excluding %@	%@' 외 %d개	\%@\" 外 %d 个"
UMailComposer:mailAccountError	You are not registered.\nPlease sign up first.	이메일 계정이 없습니다.\n이메일 계정 등록 후 사용 가능합니다.	没有电子邮箱账户！\n注册电子邮箱账户后即可使用。
UMailComposer:networkError	You are not connected to a network. Please check your internet \n connection or Wi-Fi setting.	네트워크 연결이 꺼져 있습니다.\n셀룰러 데이터 또는 Wi-Fi 연결 후\n사용해 주세요.	网络连接已断开！请在连接蜂窝移动数据或 Wi-Fi 后使用。
UMailComposer:fileSizeError	Size greater than 20 MB cannot be sent.	20MB이상의 메일은 전송할 수 없습니다.	无法发送超过 20MB 的电子邮件！
UMailComposer:sentMail	Link has been sent successfully.	링크 전달이 완료되었습니다.	已发送链接
UMailComposer:failSentMail	Failed to send a link	링크 보내기에 실패 했습니다.	发送链接失败
UMailComposer:FXPopShareVC_sendMail	Sent	전송이 완료되었습니다.	传输已经完成。
			
EPSegsController:btnBack	Back	이전	返回
EPSegsController:btnOkay	Done	완료	完成
EPSegsController:Font	Font	글꼴	字体
EPSegsController:penDraw	Edit with Pen	펜 수정	更改墨笔
EPSegsController:Paragraph	Paragraph	단락	段落
EPSegsController:Format	Format	서식	格式
EPSegsController:TXT_Format	Settings	설정	设置
EPSegsController:Style	Styles	스타일	样式
EPSegsController:Chart	Chart	차트	图表
EPSegsController:Layout	Layout	레이아웃	布局
EPSegsController:Arrange	Alignment	맞춤	排列
EPSegsController:Display	Display Form	표시형식	显示格式
EPSegsController:CellFormat	Format Cells	셀 서식	单元格格式
EPSegsController:Align	Sort	정렬	排序
EPSegsController:ChangeShape	Shapes	도형	更改形状
			
EPFontSize:Title	Font Size	글꼴 크기	字体大小
			
EPTColorTable:ColorPicker	Select Color	색상 선택	选择颜色
EPTColorTable:lblNonColor	There is no color used recently.	최근 사용한 색 없음	没有最近使用的颜色
			
EPTColorPicker:lblRGB	RGB	RGB	RGB
EPTColorPicker:lblTitle	Select Color	색상 선택	选择颜色
EPTColorPicker:btnCancel	Cancel	취소	取消
EPTColorPicker:btnConfirm	Done	완료	完成
			
EChangeShape:Title	Shapes	도형	形状
EChangeShape:toastNotSupport3D	This shape is not applicable for 3D rotation.	3차원 회전을 적용할 수 없는 도형입니다.	该形状无法使用三维旋转。
			
EPTFontColor:Title	Font Color	글꼴 색	字体颜色
			
EPTFontEffect:Title	Effects	효과	效果
			
EPTFontEffectMini:Title	Effects	효과	效果
			
EPTFontType:Title	Font	글꼴	字体
EPTFontType:btnFontList	More Fonts	글꼴 더 보기	更多字体
			
EPTFontList:lblBasic	Default Font	기본 글꼴	默认字体
EPTFontList:lblUser	Custom Font	사용자 지정 글꼴	自定义字体
			
EPTFontBgColor:Title	Font Background Color	글자 배경색	字体背景色
			
EPTArrange:Title	Alignment	맞춤	排列
			
EPTArrangeLinebreak:Title	Line Break	텍스트 줄 바꿈	文本换行
			
EPTChartType:Title	Type	타입	类型
			
EPTChartData:Title	Data	데이터	数据
EPTChartData:btnRowCol	Convert Rows/Columns	행/열 전환하기	切换行/列
EPTChartData:lblData	Show Hidden Cell Data	숨겨진 셀의 데이터 보기	查看隐藏单元格的值
			
EPTDisplay:Title	Display Format	표시 형식	显示格式
EPTDisplay:Normal	General	일반	常规
EPTDisplay:Number	Number	숫자	数值
EPTDisplay:Currency	Currency	통화	货币
EPTDisplay:Account	Accounting	회계	会计
EPTDisplay:Date	Date	날짜	日期
EPTDisplay:Time	Time	시간	时间
EPTDisplay:Percentage	Percentage	백분율	百分比
EPTDisplay:Fraction	Fraction	분수	分数
EPTDisplay:Index	Fraction	지수	科学记数
EPTDisplay:Text	Text	텍스트	文本
			
EPTDNum:lblFraction	Decimal	소수 자릿수	小数位数
EPTDNum:lblSymbol	Symbols	기호	符号
EPTDNum:symbol0	None	없음	无
EPTDNum:symbol5	￥ (Japanese)	￥ (일본어)	￥ (日语)
EPTDNum:symbol6	￥ (Chinese)	￥ (중국어)	￥ (中文)
EPTDNum:lblNegative	Negative Integers	음수	负数
EPTDNum:lblSeparate	Thousands Separator	1000단위 구분 기호	使用千位分隔符
			
EPTDNumMini:lblTitle	Display Format	표시 형식	显示格式
			
EPTDSimpleCurrency:symbol0	None	없음	无
EPTDSimpleCurrency:symbol5	￥ (Japanese)	￥ (일본어)	￥ (日语)
EPTDSimpleCurrency:symbol6	￥ (Chinese)	￥ (중국어)	￥ (中文)
			
EPTDList:fraction0	Up to one digit (1/4)	한 자릿수 분모 (1/4)	分母为一位数 (1/4)
EPTDList:fraction1	Up to two digits (21/25)	두 자릿수 분모 (21/25)	分母为两位数 (21/25)
EPTDList:fraction2	Up to three digits (312/943)	세 자릿수 분모 (312/943)	分母为三位数 (312/943)
EPTDList:fraction3	As halves (1/2)	분모를 2로 (1/2)	以 2 为分母 (1/2)
EPTDList:fraction4	As quarters (2/4)	분모를 4로 (2/4)	以 4 为分母 (2/4)
EPTDList:fraction5	As eighths (4/8)	분모를 8로 (4/8)	以 8 为分母 (4/8)
EPTDList:fraction6	As sixteenths (8/16)	분모를 16으로 (8/16)	以 16 为分母 (8/16)
EPTDList:fraction7	As tenths (3/10)	분모를 10으로 (3/10)	以 10 为分母 (3/10)
EPTDList:fraction8	As hundredths (30/100)	분모를 100으로 (30/100)	百分之几 (30/100)
			
EPTFormatBorderChart:Title	Borders	테두리	边框
EPTFormatBorderChart:Chart	Chart Borders	차트 테두리	图表边框
EPTFormatBorderChart:Data	Data Borders	데이터 테두리	数据边框
			
EPTFormatEffectChart:Title	Effects	효과	效果
EPTFormatEffectChart:Data	3D Data Display	데이터 입체 표시	数据立体显示
EPTFormatEffectChart:DarkBG	Dark Background	어두운 배경으로 표시	用深色背景显示
			
EPTFormatFontChart:Title	Font	글꼴	字体
EPTFormatFontChart:lblTitle	Size	크기	大小
EPTFormatFontChart:btnFontList	More Fonts	글꼴 더 보기	更多字体
			
EPTFormatFormChart:Title	Display Format	표시 형식	显示格式
EPTFormatFormChart:lblData	Show Original Data	원본 데이터 보기	查看源数据
EPTFormatFormChart:lblZeroPoint	Decimal Digits	소수 자릿수	小数位数
EPTFormatFormChart:lblNegative	Negative Integers	음수	负数
EPTFormatFormChart:segPositive	-1234	-1234	-1234
EPTFormatFormChart:segNegative	-1234	-1234	-1234
			
EPTFormatFillColorShape:Title	Fill	채우기	填充
EPTFormatFillColorShape:lblAlpha	Transparency (%)	투명도 (%)	透明度 (%)
EPTFormatFillColorShape:color	Color	색상	颜色
EPTFormatFillColorShape:gradation	Gradation	그라데이션	渐变
			
EPTFormatLineShape:Title	Lines	선	线条
EPTFormatLineShape:StickyTitle	Color	색	颜色
EPTFormatLineShape:lblThickness	Thickness (pt)	두께 (pt)	宽度 (pt)
EPTFormatLineShape:lblStartArrow	Begin Arrow	시작 화살표	箭头前端
EPTFormatLineShape:lblEndArrow	End Arrow	끝 화살표	箭头末端
EPTFormatLineShape:lblAlpha	Transparency (%)	투명도 (%)	透明度 (%)
			
EPTFormatEffectShape:Title	Effects	효과	效果
EPTFormatEffectShape:lblNoShadow	No Shadow	그림자 없음	无阴影
EPTFormatEffectShape:lblShadowOuter	Outer	바깥쪽	外部
EPTFormatEffectShape:lblShadowInner	Inner	안쪽	内部
EPTFormatEffectShape:lblShadowPerspective	Perspective	원근감	透视
EPTFormatEffectShape:lblReflect	No Reflection	반사 없음	无映像
EPTFormatEffectShape:lbl3d	No 3D Rotation	3차원 회전 없음	没有三维旋转
EPTFormatEffectShape:segEffect1	Shadow	그림자	阴影
EPTFormatEffectShape:segEffect2	Reflection	반사	映像
EPTFormatEffectShape:segEffect3	3D Rotation	3차원 회전	三维旋转
EPTFormatEffectShape:select3DRotation	Selecting 3D Rotation disables certain formatting effects, such as lines, shadows, reflection, gradation, and transparency.	3차원 회전 효과를 선택하면 일부 서식이 해제될 수 있습니다(그림자, 반사, 투명도).	选择三维旋转效果时，部分格式(线条、阴影、映像、简便、透明度)会被取消。
EPTFormatEffectShape:select3DRotationForPhone1	Select 3D Rotation	3차원 회전 효과를 선택하면	选择三维旋转效果时
EPTFormatEffectShape:select3DRotationForPhone2	cancels certain formatting effects.	일부 서식이 해제됩니다.	部分格式将被取消
			
EPTFormatAlignShape:Title	Align	정렬	排列
EPTFormatAlignShape:lblOrder	Order	순서	顺序
EPTFormatAlignShape:lblTextline	Line Break	텍스트 줄 바꿈	文本换行
EPTFormatAlignShape:lblCustom	Alignment	맞춤	对齐
			
EPTFormatBrightImage:Title	Adjust	조정	调整
EPTFormatBrightImage:lblBright	Brightness	밝기	亮度
EPTFormatBrightImage:lblContrast	Contrast	대비	对比度
EPTFormatBrightImage:btnReset	Reset	기본값으로 되돌리기	重置
			
EPTFormatOutlineTable:Title	Outline	테두리	边框
			
EPTLayoutLabel:Title	Label	레이블	标签
EPTLayoutLabel:lblSubject	Title	제목	标题
EPTLayoutLabel:lblX	X Axis	X 축	水平轴
EPTLayoutLabel:lblY	Y Axis	Y 축	垂直轴
EPTLayoutLabel:lblLegend	Legend	범례	图例
EPTLayoutLabel:alertTitleLength	Titles cannot exceed 31 characters.	제목은 31자를 넘어갈 수 없습니다.	标题长度不能超过 31 个字符！
EPTLayoutLabel:alertLabelLength	Labels cannot exceed 31 characters.	레이블은 31자를 넘어갈 수 없습니다.	标签长度不能超过 31 个字符！
EPTLayoutLabel:alertXAxisLabelLength	X axis cannot exceed 31 characters.	X축 레이블은 31자를 넘을 수 없습니다.	水平轴标签长度不能超过 31 个字符！
EPTLayoutLabel:alertYAxisLabelLength	Y axis cannot exceed 31 characters.	Y축 레이블은 31자를 넘을 수 없습니다.	垂直轴标签长度不能超过 31 个字符！
			
EPTLayoutAxis:Title	Axis	축	坐标轴
EPTLayoutAxis:lblData	Data Label	데이터 레이블	数据标签
EPTLayoutAxis:lblAxis	Axis Label	축 레이블	轴标签
EPTLayoutAxis:lblAxisX	Tilt X Axis Label	X축 레이블 기울기	旋转水平轴标签
EPTLayoutAxis:lblAxisY	Tilt Y Axis Label	Y축 레이블 기울기	旋转水平轴标签
EPTLayoutAxis:lblAxisLine	Axis Line	축 선	轴线
EPTLayoutAxis:lblAxisLog	Y Axis Log Markings	Y축 로그 눈금	垂直轴对数刻度
			
EPTLayoutGradation:Title	Scale Mark	눈금선	刻度线
EPTLayoutGradation:lblX	X Axis Scale Mark	X축 눈금선	水平轴刻度线
EPTLayoutGradation:lblY	Y Axis Scale Mark	Y축 눈금선	垂直轴刻度线
EPTLayoutGradation:lblDisplay	Show Markings	눈금 표시	刻度线标记
			
EPTStyle:Title	Text	텍스트	文本
EPTStyle:listNone	None	없음	无
EPTStyle:list0	Standard	표준	标准
EPTStyle:list1	Title 1	제목 1	标题1
EPTStyle:list2	Title 2	제목 2	标题2
EPTStyle:list3	Title 3	제목 3	标题3
EPTStyle:list4	Subtitle	소제목	副标题
EPTStyle:list5	Strong Emphasis	강한 강조	明显强调
EPTStyle:list6	Strong Reference	강한 참조	明显引用
			
EPTStyleChart:Title	Charts	차트	图表
			
EPTStyleImage:Title	Images	이미지	图片
			
EPTStyleLine:Title	Lines	선	线条
			
EPTStyleShape:Title	Shapes	도형	形状
			
EPTStyleTable:Title	Tables	테이블	表格
			
EPParaAlign:Title	Alignment	맞춤	对齐
			
EPTextSetting:Title	Format	서식	格式
			
EPParaTextSymbol:Title	Bullets and Numbering	글머리 기호/번호	项目符号/编号
EPParaTextSymbol:lblExistSymbol	No Bullets and Numbering	글머리 기호/번호 없음	没有项目符号/编号
EPParaTextSymbol:lblSetValue	Restart Numbering	번호 새로 매기기	重新编号
			
EPParaIndent:Title	Indentation	들여쓰기	缩进
EPParaIndent:lblLeft	Left (pt)	왼쪽 (pt)	左侧 (pt)
EPParaIndent:lblRight	Right (pt)	오른쪽 (pt)	右侧 (pt)
EPParaIndent:lblFirst	Indent first line (pt)	첫 째줄 들여쓰기 (pt)	首行缩进 (pt)
			
EPParaSpace:Title	Space	간격	间距
EPParaSpace:lblLineSpace	Line Spacing	줄 간격	行距
EPParaSpace:lblParaHead	Before paragraph (pt)	단락 앞 간격 (pt)	段前 (pt)
EPParaSpace:lblParaTail	After paragraph (pt)	단락 뒤 간격 (pt)	段后 (pt)
			
EPParaDirection:Title	Text Direction	텍스트 방향	文本方向
EPParaDirection:lblInputDir	Text Input Direction	글 입력 방향	文字输入方向
EPParaDirection:textList0	Horizontal	가로	水平
EPParaDirection:textList1	Vertical	세로	垂直
EPParaDirection:textList2	Rotate all text in 90 degrees	모든 텍스트 90도 회전	所有文本旋转 90°
EPParaDirection:textList3	Rotate all text in 270 degrees	모든 텍스트 270도 회전	所有文本旋转 270°
EPParaDirection:textList4	Rotate footnote words in 270 degrees	전각단어 270도 회전	全角单词旋转 270°
EPParaDirection:textList5	Vertical (Left to right)	세로형 (왼쪽에서 오른쪽으로)	竖排 (从左到右)
EPParaDirection:textList6	Vertical (Right to left)	세로형 (오른쪽에서 왼쪽으로)	竖排 (从右到左)
EPParaDirection:inputList0	Left to right	왼쪽에서 오른쪽으로	从左到右
EPParaDirection:inputList1	Right to left	오른쪽에서 왼쪽으로	从右到左
			
EPTextFontSize:lblTitle	Font Size	글꼴 크기	字体大小
EPTextFontSize:btnDone	Done	완료	完成
EPTextFontSize:btnCancel	Cancel	취소	取消
EPTextFontSize:encoding1	The encoding settings have been changed.	인코딩 설정이 변경되었습니다.	编码设置已更改
EPTextFontSize:encoding2	Please re-open the document.	문서를 다시 열어주세요.	请重新打开文件
			
EPTextFontStyle:lblTitle	Font	글꼴	字体
			
EPTextTheme:lblTitle	Themes	테마	主题
			
EPTextEncoding:lblTitle	Encoding	인코딩	编码
			
EColorPicker:lblTitle	Select Color	색상 선택	选择颜色
EColorPicker:lblRGB	RGB	RGB	RGB
EColorPicker:btnCancel	Cancel	취소	取消
EColorPicker:btnConfirm	Done	완료	完成
			
ECaptureBar:captureTitle	Screenshot	화면 캡쳐	屏幕截图
ECaptureBar:captureDone	Done	완료	完成
ECaptureBar:SaveToGallery	Clipped files are saved in Picture.	클리핑한 파일은 사진에 저장됩니다.	被裁剪的文件保存到照片
			
ECaptureController:SaveToGallery	Clipped files are saved in Picture.	클리핑한 파일은 사진에 저장됩니다.	被裁剪的文件保存到照片
			
EFindBar:btnDone	Close	닫기	关闭
EFindBar:msgFailSearch	No matching items were found.	일치하는 항목이 없습니다.	没有一致的内容
EFindBar:msgEndSearch	Finished searching the document.	문서 검색을 마쳤습니다.	已结束文件搜索！
EFindBar:msgReplaceAll	%d have been replaced.	%d개가 바뀌었습니다.	已替换 %d 个！
